--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE540      6      0.5000     0.5000     -0.5169    2.6667    3.8730    
SITE541      9      0.5556     0.5556     0.4835     1.6667    2.5604    
SITE542      8      0.7500     0.8750     0.7778     0.7500    1.5811    
SITE545      9      0.7778     0.8889     0.3590     0.8889    2.3570    
SITE547      7      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE556      6      0.3333     0.6667     -0.4324    2.6667    3.8730    
SITE557      19     0.3158     0.6842     0.3180     1.6842    2.2942    
SITE561      15     0.2667     0.6667     0.5479     1.5333    2.0166    
SITE563      10     0.5000     0.7000     -0.1111    1.9000    2.9155    
SITE564      9      0.4444     0.8889     0.7234     1.1111    1.6997    
SITE568      7      0.7143     0.7143     0.6205     0.8571    1.6036    
SITE569      11     0.5455     0.8182     0.5793     1.0000    1.5667    
SITE572      8      0.5000     0.7500     0.4574     1.3750    2.2079    
SITE574      9      0.2222     0.7778     0.5442     1.6667    2.0817    
SITE575      15     0.3333     0.5333     -0.5951    2.4667    3.2762    
SITE577      9      0.4444     0.6667     0.0652     2.0000    3.0912    
SITE578      7      0.7143     0.8571     0.4697     0.5714    1.1952    
SITE580      6      0.5000     0.6667     -0.2400    2.0000    3.2146    
SITE581      10     0.6000     0.8000     0.0196     1.3000    2.3452    
SITE584      8      0.7500     0.8750     0.5460     0.8750    1.9039    
SITE587      8      0.3750     1.0000     0.7615     1.2500    1.5811    
SITE593      11     0.3636     0.8182     -0.2289    1.8182    2.7303    
SITE595      18     0.3889     0.7222     0.2973     1.5556    2.2852    
SITE597      8      0.6250     0.8750     0.6720     0.7500    1.5000    
SITE598      7      0.5714     0.8571     0.6435     0.7143    1.2536    
SITE601      8      0.6250     0.7500     0.6618     1.1250    2.0917    
SITE602      12     0.2500     0.7500     -0.1411    2.1667    3.1885    
SITE606      15     0.4000     0.6667     0.2577     1.8000    2.7689    
SITE607      12     0.4167     0.6667     0.2379     1.7500    2.6300    
SITE610      10     0.3000     0.6000     -0.0966    2.3000    3.1780    
SITE612      14     0.2857     0.5000     -0.1861    2.1429    2.9520    
SITE616      13     0.3846     0.8462     0.5731     1.3077    1.9415    
SITE617      10     0.3000     0.9000     0.4894     1.4000    2.1909    
SITE620      17     0.5294     0.8235     0.4924     1.2353    2.1004    
SITE622      13     0.2308     0.6923     0.3302     1.7692    2.1662    
SITE623      8      0.5000     1.0000     0.4167     0.6250    0.9354    
SITE624      9      0.3333     0.7778     -0.2511    1.5556    2.6247    
SITE626      10     0.6000     0.8000     0.3734     1.4000    2.7203    
SITE629      13     0.2308     0.6154     -0.5545    2.6923    3.6268    
SITE639      11     0.1818     0.7273     0.1796     1.9091    2.5406    
SITE648      7      0.5714     0.8571     0.8388     0.8571    1.4142    
SITE658      16     0.4375     0.6875     0.4603     1.5000    2.0616    
SITE683      7      0.2857     0.7143     -0.9091    1.7143    2.0702    
SITE684      14     0.3571     0.6429     0.0342     1.9286    2.7903    
SITE692      15     0.2667     0.8000     0.4411     1.4000    1.9149    
SITE719      16     0.4375     0.8125     0.4791     1.3125    1.9843    
SITE721      12     0.3333     0.7500     0.1548     1.9167    2.7538    
SITE722      14     0.4286     0.7857     0.0480     1.4286    2.2039    
SITE725      9      0.3333     0.7778     -0.1216    1.8889    3.0368    
SITE734      13     0.3077     0.6923     -0.0759    2.0000    2.7175    
SITE735      17     0.3529     0.8824     0.6435     1.1765    1.7150    
SITE739      10     0.3000     0.8000     0.4930     1.4000    2.0000    
SITE747      30     0.3667     0.8000     0.3136     1.4000    2.0976    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.3000     0.8000     0.1027     1.9000    3.1145    
