--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.6000     0.6000     -0.6602    2.6000    4.1231    
SITE309      13     0.3077     0.3846     -1.3287    3.4615    4.5826    
SITE310      7      0.2857     0.4286     -1.4144    3.2857    4.2929    
SITE322      9      0.5556     0.6667     -0.5414    1.5556    2.6247    
SITE323      9      0.4444     0.5556     -0.9565    2.4444    3.4960    
SITE324      17     0.2941     0.4118     -1.4581    3.5882    4.6590    
SITE325      8      0.3750     0.6250     -0.5435    3.0000    4.2131    
SITE327      16     0.2500     0.3125     -2.2197    4.4375    5.3444    
SITE330      14     0.2857     0.5000     -1.3029    2.8571    3.7985    
SITE331      7      0.4286     0.4286     -1.0811    2.8571    3.9641    
SITE332      9      0.4444     0.6667     -0.9286    1.4444    2.0817    
SITE333      5      0.6000     0.8000     -0.4167    1.0000    1.8439    
SITE334      12     0.3333     0.3333     -1.5410    3.2500    4.1733    
SITE336      5      0.6000     0.8000     -0.5625    1.2000    2.0000    
SITE338      5      0.6000     0.8000     -0.6250    1.0000    1.6125    
SITE339      8      0.2500     0.3750     -1.7409    3.1250    3.9211    
SITE340      12     0.1667     0.5000     -0.0302    2.0833    2.4324    
SITE343      12     0.3333     0.3333     -1.5228    3.0833    3.9686    
SITE345      7      0.4286     0.5714     -0.8272    2.1429    3.1848    
SITE353      8      0.6250     0.6250     -0.5385    1.7500    2.9580    
SITE355      9      0.5556     0.6667     -0.4839    2.1111    3.6968    
SITE358      14     0.3571     0.5714     -0.8828    2.2857    3.3381    
SITE360      8      0.5000     0.7500     -0.5045    1.6250    2.8062    
SITE361      7      0.4286     0.4286     -1.1655    2.5714    3.5051    
SITE362      11     0.3636     0.5455     -0.9631    3.1818    4.5427    
SITE363      11     0.5455     0.6364     -0.5641    1.7273    2.8762    
SITE366      12     0.3333     0.4167     -1.4363    3.2500    4.2328    
SITE367      8      0.6250     0.6250     -0.4620    1.8750    3.3354    
SITE375      6      0.5000     0.6667     -0.5768    2.1667    3.5824    
SITE376      9      0.3333     0.4444     -1.1852    2.6667    3.6209    
SITE377      12     0.4167     0.5833     -0.8182    2.2500    3.3541    
SITE380      8      0.3750     0.3750     -1.2425    3.1250    4.1982    
SITE383      4      0.0000     0.2500     -5.5556    5.0000    5.4314    
SITE385      9      0.2222     0.5556     0.0000     2.0000    2.4944    
SITE386      11     0.4545     0.6364     -0.8096    2.2727    3.3979    
SITE388      7      0.2857     0.5714     -1.2427    2.2857    3.0706    
SITE389      11     0.6364     0.7273     -0.3657    1.6364    3.1623    
SITE397      14     0.1429     0.5714     -0.7399    2.7143    3.5051    
SITE401      7      0.5714     0.5714     -0.6550    1.8571    2.9520    
SITE404      6      0.3333     0.5000     -1.3500    3.0000    3.9581    
SITE406      6      0.0000     0.5000     -0.0760    2.8333    3.1358    
SITE407      7      0.7143     0.8571     -0.2333    1.0000    2.2991    
SITE411      29     0.2759     0.6207     -0.6359    2.0345    2.7101    
SITE417      24     0.2500     0.6250     -0.0102    1.9167    2.4833    
SITE420      15     0.1333     0.5333     -1.4953    2.8000    3.4448    
SITE421      11     0.3636     0.5455     -0.9719    2.7273    3.8847    
SITE422      13     0.1538     0.6154     -0.0042    2.0000    2.3859    
