site_id,n_total,n_train,n_val,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,val_loss,test_loss,epoch
SITE134,26,18,3,5,15,30,0.4000000059604645,0.6000000238418579,-1.0212767124176025,2.0,2.756809711456299,1.4443609714508057,1.1110608577728271,2.8130595684051514,15
SITE156,72,41,9,22,1,16,0.3636363744735718,0.7727272510528564,0.41097724437713623,1.3636363744735718,1.9069252014160156,2.0618189175923667,2.0260860919952393,1.9238227605819702,1
SITE160,34,18,6,10,1,16,0.10000000149011612,0.6000000238418579,-1.938596487045288,2.5999999046325684,3.6606009006500244,1.8887510299682617,1.9758131504058838,2.054412841796875,1
SITE161,56,29,9,18,13,28,0.3333333432674408,0.5555555820465088,-0.3092672824859619,1.9444444179534912,2.7386128902435303,1.1395788192749023,1.8530030250549316,2.3038769364356995,13
SITE165,31,13,6,12,3,18,0.0833333358168602,0.25,-3.9870128631591797,5.0,5.656854152679443,2.259960651397705,2.235222816467285,2.374528646469116,3
SITE167,38,21,4,13,2,17,0.3076923191547394,0.5384615659713745,-1.428074598312378,2.538461446762085,3.5191781520843506,1.7149049639701843,2.1550192832946777,1.9242959022521973,2
SITE168,39,17,7,15,2,17,0.3333333432674408,0.7333333492279053,0.2793842554092407,1.9333332777023315,2.6204326152801514,1.4972789287567139,2.134211778640747,1.5425342321395874,2
SITE169,53,30,8,15,2,17,0.06666667014360428,0.4000000059604645,-2.6640212535858154,3.5333333015441895,4.297286033630371,1.9449345469474792,1.5996489524841309,2.2517666816711426,2
SITE171,48,22,9,17,1,16,0.23529411852359772,0.6470588445663452,-0.6688241958618164,2.3529412746429443,3.271984338760376,2.2730908393859863,1.90323007106781,1.994649052619934,1
SITE178,41,23,7,11,1,16,0.0,0.7272727489471436,-1.491452932357788,2.7272727489471436,3.1042492389678955,2.16953444480896,2.320162773132324,2.0767478942871094,1
SITE179,109,59,18,32,1,16,0.25,0.53125,-1.2040815353393555,2.75,3.674234628677368,2.179332137107849,2.4310288429260254,2.073120951652527,1
SITE186,78,45,9,24,2,17,0.375,0.6666666865348816,0.0502128005027771,1.9166666269302368,2.7838821411132812,1.909531831741333,2.0774216651916504,1.9979535341262817,2
SITE193,55,31,5,19,16,31,0.3684210479259491,0.8421052694320679,0.6114519238471985,1.3684210777282715,1.7770466804504395,1.5024815201759338,1.1342426538467407,2.285139560699463,16
SITE194,80,41,12,27,13,28,0.2222222238779068,0.5925925970077515,-0.3809390068054199,2.0370371341705322,2.6034164428710938,1.6560891071955364,1.3623311519622803,2.3755638003349304,13
