--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE411      29     0.2759     0.6207     -0.4208    1.8966    2.5257    
SITE417      24     0.2083     0.7500     -0.0717    1.9583    2.5577    
SITE420      15     0.2000     0.6667     -0.4720    2.0667    2.6458    
SITE421      11     0.4545     0.8182     0.2635     1.4545    2.3741    
SITE422      13     0.1538     0.6154     0.1044     2.0000    2.2532    
SITE424      6      0.6667     0.6667     -0.4032    1.6667    3.1091    
SITE426      15     0.4667     0.7333     0.3026     1.4000    2.1448    
SITE430      9      0.4444     0.6667     -0.0293    2.3333    3.6667    
SITE434      12     0.4167     0.6667     0.1585     1.5833    2.3979    
SITE435      9      0.4444     0.6667     0.3237     1.5556    2.4037    
SITE437      18     0.2778     0.5000     -0.8920    2.6667    3.4960    
SITE438      15     0.2000     0.8000     -0.3816    1.8667    2.5560    
SITE439      13     0.4615     0.7692     0.5000     1.3077    2.0191    
SITE442      19     0.3684     0.8421     0.3853     1.4737    2.1764    
SITE443      6      0.5000     0.5000     -0.7554    3.0000    4.5092    
SITE446      18     0.1667     0.5556     -1.2804    3.4444    4.5092    
SITE447      5      0.4000     0.6000     0.3925     1.6000    2.2804    
SITE454      7      0.5714     0.5714     -1.0476    2.2857    3.5051    
SITE455      9      0.3333     0.5556     -0.0884    2.4444    3.3993    
SITE460      4      0.2500     0.5000     -1.2105    3.5000    4.5826    
SITE461      5      0.0000     0.4000     -0.2277    3.0000    3.3166    
SITE463      6      0.3333     0.8333     -0.1402    2.1667    3.1885    
SITE464      8      0.6250     0.7500     0.2058     1.6250    2.9368    
SITE468      6      0.5000     0.6667     -1.3839    2.5000    3.8514    
SITE469      4      0.5000     0.7500     -13.5455   2.0000    3.1623    
SITE471      17     0.5294     0.6471     -0.0411    1.8824    3.1060    
SITE474      6      0.8333     0.8333     0.5733     0.6667    1.6330    
SITE477      14     0.4286     0.5714     -0.4000    2.2857    3.3381    
SITE483      9      0.3333     0.8889     0.7297     1.1111    1.4907    
SITE485      10     0.7000     0.8000     0.7358     0.8000    1.6125    
SITE486      6      0.6667     0.8333     0.3818     0.8333    1.6833    
SITE490      13     0.3846     0.6154     -0.1139    1.7692    2.5570    
SITE492      6      0.5000     0.6667     -0.4831    1.3333    1.9149    
SITE506      10     0.7000     0.8000     0.1341     1.1000    2.2583    
SITE508      27     0.4074     0.7778     0.5324     1.3333    1.9814    
SITE510      6      0.3333     0.3333     0.0730     2.0000    2.4495    
SITE520      16     0.4375     0.8125     0.5718     1.0625    1.7500    
SITE521      17     0.3529     0.8235     0.5625     1.4118    2.2229    
SITE522      18     0.5000     0.7778     0.1501     1.6111    2.6771    
SITE528      11     0.5455     0.6364     -0.2319    1.5455    2.5406    
SITE538      7      0.7143     0.8571     0.0495     1.5714    3.4847    
SITE539      7      0.7143     0.7143     -0.0264    1.5714    2.9520    
SITE540      6      0.5000     0.6667     0.0899     2.0000    3.0000    
SITE541      9      0.7778     0.7778     0.8424     0.6667    1.4142    
SITE542      8      0.8750     1.0000     0.9556     0.2500    0.7071    
SITE545      9      0.6667     1.0000     0.9231     0.4444    0.8165    
SITE547      7      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE556      6      0.5000     0.8333     0.3952     1.3333    2.5166    
SITE557      19     0.3684     0.5789     -0.5004    2.3158    3.4028    
SITE561      15     0.2000     0.6667     0.1477     2.0667    2.7689    
SITE563      10     0.5000     0.6000     -0.0850    1.9000    2.8810    
SITE564      9      0.5556     0.7778     0.5745     1.3333    2.1082    
SITE568      7      0.7143     0.8571     0.7892     0.5714    1.1952    
SITE569      11     0.8182     1.0000     0.9221     0.2727    0.6742    
