--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE464      8      0.5000     0.7500     -0.3928    2.3750    3.8891    
SITE468      6      0.3333     0.5000     -1.4107    3.0000    3.8730    
SITE469      4      0.7500     0.7500     -8.0909    1.2500    2.5000    
SITE471      17     0.3529     0.4118     -1.1710    3.2941    4.4853    
SITE474      6      0.3333     0.5000     -1.0000    2.5000    3.5355    
SITE477      14     0.4286     0.5714     -0.8308    2.5714    3.8173    
SITE483      9      0.2222     0.2222     -2.3514    4.4444    5.2493    
SITE485      10     0.2000     0.6000     -0.0163    2.4000    3.1623    
SITE486      6      0.6667     0.6667     0.0909     1.1667    2.0412    
SITE490      13     0.3077     0.4615     -1.3065    2.7692    3.6795    
SITE492      6      0.3333     0.5000     -1.3596    1.8333    2.4152    
SITE506      10     0.6000     0.6000     -0.6638    1.8000    3.1305    
SITE508      27     0.3333     0.7037     -0.2000    2.1481    3.1740    
SITE510      6      0.5000     0.5000     -0.7253    2.1667    3.3417    
SITE520      16     0.3750     0.6875     -0.0486    1.8750    2.7386    
SITE521      17     0.2941     0.5882     -0.2083    2.7059    3.6942    
SITE522      18     0.3889     0.4444     -1.1479    3.1111    4.2557    
SITE528      11     0.4545     0.5455     -0.9085    2.1818    3.1623    
SITE538      7      0.5714     0.5714     -0.2300    2.5714    3.9641    
SITE539      7      0.4286     0.4286     -1.2716    3.2857    4.3916    
SITE540      6      0.0000     0.1667     -0.7191    4.0000    4.1231    
SITE541      9      0.5556     0.6667     0.1770     2.0000    3.2318    
SITE542      8      0.5000     0.8750     0.8000     1.0000    1.5000    
SITE545      9      0.2222     0.7778     -0.5769    2.5556    3.6968    
SITE547      7      0.4286     0.4286     -1.2604    4.7143    6.3133    
SITE556      6      0.1667     0.3333     -0.8939    3.5000    4.4535    
SITE557      19     0.1579     0.6316     -0.2412    2.4211    3.0950    
SITE561      15     0.3333     0.5333     -0.4452    2.4667    3.6056    
SITE563      10     0.3000     0.7000     -0.2941    2.3000    3.1464    
SITE564      9      0.2222     0.3333     -2.0851    4.6667    5.6765    
SITE568      7      0.2857     0.4286     -0.7711    2.5714    3.4641    
SITE569      11     0.5455     0.8182     0.2210     1.2727    2.1320    
SITE572      8      0.5000     0.6250     -0.2104    2.1250    3.2977    
SITE574      9      0.3333     0.7778     0.5558     1.5556    2.0548    
SITE575      15     0.2667     0.4667     -1.0806    2.8000    3.7417    
SITE577      9      0.4444     0.7778     0.1196     1.8889    3.0000    
SITE578      7      0.7143     0.8571     0.3106     0.7143    1.3628    
SITE580      6      0.3333     0.5000     -0.4800    2.6667    3.5119    
SITE581      10     0.5000     0.6000     -0.1230    1.7000    2.5100    
SITE584      8      0.5000     0.6250     -0.6751    2.1250    3.6572    
SITE587      8      0.5000     0.6250     -0.3115    2.2500    3.7081    
SITE593      11     0.3636     0.7273     -0.3488    2.0000    2.8604    
SITE595      18     0.2778     0.4444     -0.5997    2.6667    3.4480    
SITE597      8      0.2500     0.5000     -0.0023    2.1250    2.6220    
SITE598      7      0.2857     0.5714     -1.0417    2.1429    3.0000    
SITE601      8      0.6250     0.7500     0.4879     1.3750    2.5739    
SITE602      12     0.3333     0.7500     -0.2253    2.0833    3.3040    
SITE606      15     0.2667     0.6000     -0.9105    3.0667    4.4422    
SITE607      12     0.2500     0.5000     -0.9373    3.0833    4.1932    
SITE610      10     0.3000     0.5000     -0.5418    2.8000    3.7683    
SITE612      14     0.2857     0.3571     -1.5375    3.3571    4.3177    
SITE616      13     0.2308     0.9231     0.7038     1.2308    1.6172    
SITE617      10     0.5000     0.7000     0.1277     1.8000    2.8636    
SITE620      17     0.4118     0.5882     -0.4889    2.4706    3.5974    
SITE622      13     0.1538     0.6154     -0.8117    2.6923    3.5626    
SITE623      8      0.2500     1.0000     0.0000     1.0000    1.2247    
SITE624      9      0.2222     0.5556     -1.4013    2.7778    3.6362    
SITE626      10     0.7000     0.8000     0.6444     1.0000    2.0494    
SITE629      13     0.2308     0.6154     -0.1182    2.3846    3.0760    
SITE639      11     0.0909     0.1818     -2.8361    4.9091    5.4938    
SITE648      7      0.2857     0.4286     -1.3832    4.1429    5.4380    
SITE658      16     0.2500     0.6250     0.3730     1.8125    2.2220    
SITE683      7      0.5714     0.8571     0.1091     0.8571    1.4142    
SITE684      14     0.2857     0.5714     -0.6658    2.7143    3.6645    
SITE692      15     0.2000     0.3333     -1.1951    3.2000    3.7947    
SITE719      16     0.2500     0.6875     -0.1163    2.1875    2.9047    
SITE721      12     0.3333     0.5000     -0.1424    2.4167    3.2016    
SITE722      14     0.2857     0.7143     -0.0360    1.7143    2.2991    
SITE725      9      0.2222     0.5556     -0.2973    2.4444    3.2660    
SITE734      13     0.3077     0.6923     -0.3112    2.0769    3.0000    
SITE735      17     0.1765     0.4706     -0.7399    2.9412    3.7885    
SITE739      10     0.2000     0.5000     -0.0013    2.3000    2.8107    
SITE747      30     0.2000     0.6000     -0.4509    2.3000    3.0496    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.3000     0.9000     0.7132     1.1000    1.7607    
SITE801      8      0.3750     0.6250     -0.6000    2.2500    3.6742    
SITE802      9      0.3333     0.7778     -0.3154    2.1111    3.2489    
SITE807      7      0.5714     1.0000     0.7981     0.5714    0.9258    
SITE808      7      0.2857     0.4286     -1.6057    3.8571    4.9135    
SITE821      10     0.4000     0.4000     -0.9591    3.0000    4.2661    
SITE831      11     0.1818     0.2727     -2.0992    4.1818    5.0812    
SITE844      7      0.5714     0.8571     0.7594     0.7143    1.2536    
SITE852      14     0.2143     0.5714     -0.0249    2.0000    2.5912    
SITE871      7      0.4286     0.7143     0.4059     1.7143    2.5635    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.3308     0.6173     -0.2974    2.2515    3.2539    
--------------------------------------------------------------------------------------------------------------
