site_id,n_total,n_train,n_val,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,val_loss,test_loss,epoch
SITE128,71,36,10,25,5,20,0.1599999964237213,0.5199999809265137,-0.6944444179534912,2.4800000190734863,3.1240999698638916,2.224327802658081,1.9025086164474487,2.2992935180664062,5
SITE129,59,30,6,23,2,17,0.1304347813129425,0.43478259444236755,-2.026315689086914,3.3478260040283203,4.091348171234131,3.014070987701416,2.684464931488037,2.2412232160568237,2
SITE132,34,20,2,12,2,17,0.25,0.4166666567325592,-1.067030668258667,3.4166667461395264,4.291464328765869,4.6631059646606445,3.064286947250366,2.0875375270843506,2
SITE134,26,18,3,5,5,20,0.0,0.0,-4.6914896965026855,4.199999809265137,4.626013278961182,1.8294252157211304,0.8398278951644897,2.1756439208984375,5
SITE156,72,41,9,22,2,17,0.3181818127632141,0.4545454680919647,-0.590361475944519,2.454545497894287,3.1333978176116943,2.372459650039673,2.19435977935791,2.26728218793869,2
SITE160,34,18,6,10,2,17,0.30000001192092896,0.699999988079071,-0.7105263471603394,1.7999999523162842,2.7928481101989746,2.0148210525512695,0.8732619285583496,1.799120306968689,2
SITE161,56,29,9,18,14,29,0.2777777910232544,0.3888888955116272,-0.5517241954803467,2.444444417953491,2.98142409324646,1.8497658967971802,1.863802194595337,2.010594129562378,14
SITE165,31,13,6,12,2,17,0.0833333358168602,0.0833333358168602,-4.714285850524902,5.5,6.055300712585449,5.292993545532227,1.1181178092956543,3.4250073432922363,2
SITE167,38,21,4,13,3,18,0.23076923191547394,0.6153846383094788,-0.9756382703781128,2.230769157409668,3.174417018890381,2.146305799484253,3.316028118133545,2.1757376194000244,3
SITE168,39,17,7,15,18,33,0.20000000298023224,0.46666666865348816,-1.1198697090148926,3.5333333015441895,4.494441032409668,1.9144634008407593,2.5952789783477783,2.0288476943969727,18
SITE169,53,30,8,15,7,22,0.4000000059604645,0.6000000238418579,-0.5079365968704224,2.0,2.756809711456299,1.8598697185516357,2.131185531616211,1.9142149686813354,7
SITE171,48,22,9,17,5,20,0.11764705926179886,0.529411792755127,-0.48543691635131836,2.3529412746429443,3.0869743824005127,1.9308951497077942,2.7861361503601074,2.0391595363616943,5
SITE178,41,23,7,11,2,17,0.09090909361839294,0.3636363744735718,-2.925213575363159,3.3636362552642822,3.8963851928710938,3.0403889417648315,2.603330373764038,2.384739398956299,2
SITE179,109,59,18,32,9,24,0.21875,0.625,-0.2551020383834839,2.125,2.7726340293884277,2.1141237020492554,2.118041515350342,2.1689329147338867,9
SITE186,78,45,9,24,2,17,0.125,0.375,-0.8178722858428955,3.25,3.8514065742492676,2.411893447240194,2.14949893951416,2.447862982749939,2
SITE193,55,31,5,19,3,18,0.21052631735801697,0.3684210479259491,-1.622699499130249,3.6315789222717285,4.616902828216553,2.1210455894470215,2.024798631668091,3.259965181350708,3
SITE194,80,41,12,27,34,49,0.1111111119389534,0.4444444477558136,-0.5394073724746704,2.444444417953491,2.748737096786499,1.9073171615600586,1.173227310180664,3.4197751879692078,34
SITE198,56,29,6,21,2,17,0.2857142984867096,0.6190476417541504,-1.1268916130065918,2.095238208770752,2.8784916400909424,2.4638489484786987,2.6561808586120605,2.0045594573020935,2
SITE203,143,87,16,40,27,42,0.2750000059604645,0.6499999761581421,-0.21004009246826172,2.25,3.041381359100342,1.909913996855418,1.5871132612228394,1.9474855661392212,27
SITE205,89,50,13,26,1,16,0.1538461595773697,0.5,-0.6293247938156128,2.653846263885498,3.1561903953552246,5.7089404463768005,2.7098388671875,2.3498743772506714,1
