--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE404      6      0.5000     0.6667     -0.3500    2.0000    3.0000    
SITE406      6      0.1667     0.1667     -2.8663    5.0000    5.9442    
SITE407      7      0.7143     0.8571     -0.2333    1.0000    2.2991    
SITE411      29     0.2759     0.6207     -0.3901    1.8966    2.4983    
SITE417      24     0.2500     0.6250     -0.0102    1.9167    2.4833    
SITE420      15     0.2000     0.6667     -0.0935    1.8667    2.2804    
SITE421      11     0.3636     0.5455     -0.9719    2.7273    3.8847    
SITE422      13     0.1538     0.6154     -0.0042    2.0000    2.3859    
SITE424      6      0.6667     0.6667     -0.4032    1.6667    3.1091    
SITE426      15     0.4667     0.7333     0.2318     1.4667    2.2509    
SITE430      9      0.4444     0.7778     0.2684     1.7778    3.0912    
SITE434      12     0.2500     0.5000     -0.1463    2.1667    2.7988    
SITE435      9      0.3333     0.4444     -1.1329    3.1111    4.2687    
SITE437      18     0.2778     0.4444     -0.8146    2.7222    3.4238    
SITE438      15     0.2667     0.8000     -0.1842    1.6000    2.3664    
SITE439      13     0.2308     0.4615     -0.1226    2.3846    3.0255    
SITE442      19     0.2632     0.5789     -0.7279    2.6842    3.6491    
SITE443      6      0.3333     0.5000     -0.6691    3.0000    4.3970    
SITE446      18     0.3333     0.6667     -0.4081    2.4444    3.5434    
SITE447      5      0.4000     0.6000     0.3925     1.6000    2.2804    
SITE454      7      0.5714     0.5714     -0.6667    2.0000    3.1623    
SITE455      9      0.4444     0.5556     -0.4233    2.6667    3.8873    
SITE460      4      0.2500     0.7500     -0.4211    2.5000    3.6742    
SITE461      5      0.2000     0.4000     -0.0045    2.6000    3.0000    
SITE463      6      0.5000     0.6667     -0.4579    2.3333    3.6056    
SITE464      8      0.5000     0.7500     -0.3928    2.3750    3.8891    
SITE468      6      0.5000     0.5000     -1.9464    3.0000    4.2817    
SITE469      4      0.7500     0.7500     -8.0909    1.2500    2.5000    
SITE471      17     0.3529     0.4118     -1.1710    3.2941    4.4853    
SITE474      6      0.3333     0.5000     -1.0000    2.5000    3.5355    
SITE477      14     0.4286     0.5714     -0.8308    2.5714    3.8173    
SITE483      9      0.2222     0.2222     -2.3514    4.4444    5.2493    
SITE485      10     0.4000     0.7000     0.6341     1.4000    1.8974    
SITE486      6      0.6667     0.6667     -0.4909    1.5000    2.6141    
SITE490      13     0.3077     0.4615     -1.3065    2.7692    3.6795    
SITE492      6      0.3333     0.6667     -0.5506    1.5000    1.9579    
SITE506      10     0.6000     0.7000     -0.4092    1.5000    2.8810    
SITE508      27     0.3333     0.7407     -0.3676    2.2222    3.3884    
SITE510      6      0.5000     0.5000     -0.7253    2.1667    3.3417    
SITE520      16     0.3750     0.5625     -0.7040    2.4375    3.4911    
SITE521      17     0.3529     0.8235     0.5833     1.5294    2.1693    
SITE522      18     0.3889     0.4444     -1.1479    3.1111    4.2557    
SITE528      11     0.5455     0.7273     -0.9085    1.8182    3.1623    
SITE538      7      0.5714     0.5714     -0.0064    2.2857    3.5857    
SITE539      7      0.4286     0.4286     -1.2716    3.2857    4.3916    
SITE540      6      0.3333     0.5000     -0.8539    3.0000    4.2817    
SITE541      9      0.5556     0.6667     0.1770     2.0000    3.2318    
SITE542      8      0.6250     0.7500     0.6778     1.1250    1.9039    
SITE545      9      0.3333     0.5556     -1.0385    3.0000    4.2032    
SITE547      7      0.4286     0.4286     -1.2604    4.7143    6.3133    
SITE556      6      0.1667     0.3333     -0.8939    3.5000    4.4535    
