--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE538      7      0.4286     0.4286     -0.2300    2.8571    3.9641    
SITE539      7      0.4286     0.4286     -1.2716    3.2857    4.3916    
SITE540      6      0.3333     0.5000     -1.1236    3.3333    4.5826    
SITE541      9      0.4444     0.5556     -0.0418    2.5556    3.6362    
SITE542      8      0.5000     0.7500     0.2667     1.7500    2.8723    
SITE545      9      0.4444     0.6667     -0.4744    2.3333    3.5746    
SITE547      7      0.5714     0.5714     0.3438     2.1429    3.4017    
SITE556      6      0.5000     0.6667     0.4430     1.5000    2.4152    
SITE557      19     0.3684     0.6842     -0.1730    2.0000    3.0088    
SITE561      15     0.2000     0.5333     0.2292     2.1333    2.6331    
SITE563      10     0.4000     0.6000     -0.3987    2.3000    3.2711    
SITE564      9      0.2222     0.5556     0.2766     2.2222    2.7487    
SITE568      7      0.0000     0.2857     -1.3193    3.4286    3.9641    
SITE569      11     0.2727     0.7273     -0.0127    1.7273    2.4309    
SITE572      8      0.3750     0.6250     -0.2661    2.3750    3.3727    
SITE574      9      0.2222     0.4444     -0.9403    3.3333    4.2947    
SITE575      15     0.2667     0.6667     -0.7635    2.4000    3.4448    
SITE577      9      0.2222     0.4444     -0.3913    2.8889    3.7712    
SITE578      7      0.2857     0.7143     -0.5909    1.7143    2.0702    
SITE580      6      0.5000     0.5000     -1.2800    3.0000    4.3589    
SITE581      10     0.5000     0.6000     -0.1230    1.7000    2.5100    
SITE584      8      0.3750     0.5000     -0.8630    2.6250    3.8568    
SITE587      8      0.3750     0.5000     -1.0864    3.3750    4.6771    
SITE593      11     0.3636     0.7273     -0.3488    2.0000    2.8604    
SITE595      18     0.2778     0.5000     -0.4203    2.4444    3.2489    
SITE597      8      0.3750     0.6250     0.2164     1.6250    2.3184    
SITE598      7      0.4286     0.7143     0.1250     1.2857    1.9640    
SITE601      8      0.2500     0.6250     0.7101     1.5000    1.9365    
SITE602      12     0.2500     0.6667     -0.5620    2.5833    3.7305    
SITE606      15     0.2667     0.6000     -0.8008    3.0000    4.3128    
SITE607      12     0.4167     0.6667     0.2379     1.7500    2.6300    
SITE610      10     0.4000     0.6000     -0.0858    2.2000    3.1623    
SITE612      14     0.4286     0.5714     -0.0694    1.8571    2.8031    
SITE616      13     0.3846     0.9231     0.6428     1.1538    1.7759    
SITE617      10     0.4000     0.7000     0.6170     1.4000    1.8974    
SITE620      17     0.3529     0.6471     -0.0422    2.0000    3.0098    
SITE622      13     0.3077     0.6923     0.0777     1.8462    2.5420    
SITE623      8      0.6250     1.0000     0.5000     0.5000    0.8660    
SITE624      9      0.2222     0.5556     -0.2511    2.0000    2.6247    
SITE626      10     0.2000     0.7000     -0.2447    2.7000    3.8341    
SITE629      13     0.3077     0.6154     -0.0818    2.2308    3.0255    
SITE639      11     0.2727     0.6364     -0.0630    2.1818    2.8920    
SITE648      7      0.2857     0.4286     -1.3832    4.1429    5.4380    
SITE658      16     0.2500     0.6250     0.1587     2.0000    2.5739    
SITE683      7      0.4286     0.7143     -1.1000    1.5714    2.1712    
SITE684      14     0.1429     0.5000     -0.3468    2.7143    3.2950    
SITE692      15     0.2667     0.5333     -0.2602    2.2667    2.8752    
SITE719      16     0.1250     0.4375     -0.5463    2.8125    3.4187    
SITE721      12     0.2500     0.5000     -0.4675    2.8333    3.6286    
SITE722      14     0.2143     0.7143     -0.0640    1.7143    2.3299    
SITE725      9      0.2222     0.5556     -0.8378    2.8889    3.8873    
SITE734      13     0.3077     0.6923     -0.4905    2.2308    3.1986    
SITE735      17     0.1765     0.4706     0.1799     2.1765    2.6009    
SITE739      10     0.2000     0.4000     -1.6489    3.7000    4.5717    
