--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE477      14     0.4286     0.7857     0.3808     1.3571    2.2200    
SITE483      9      0.2222     0.7778     0.5135     1.5556    2.0000    
SITE485      10     0.5000     0.9000     0.5935     1.0000    2.0000    
SITE486      6      0.6667     1.0000     0.9273     0.3333    0.5774    
SITE490      13     0.5385     0.7692     0.6069     0.9231    1.5191    
SITE492      6      0.6667     1.0000     0.8652     0.3333    0.5774    
SITE506      10     0.6000     0.7000     -0.0187    1.4000    2.4495    
SITE508      27     0.4074     0.8889     0.5765     1.1852    1.8856    
SITE510      6      0.8333     0.8333     -0.2618    1.1667    2.8577    
SITE520      16     0.5000     0.8125     0.6068     1.0625    1.6771    
SITE521      17     0.5882     0.9412     0.8750     0.7059    1.1882    
SITE522      18     0.5556     0.6667     0.0051     1.7222    2.8964    
SITE528      11     0.5455     0.6364     0.2366     1.2727    2.0000    
SITE538      7      0.2857     0.5714     0.0048     2.7143    3.5657    
SITE539      7      0.4286     0.5714     -0.6827    2.5714    3.7796    
SITE540      6      0.5000     0.6667     0.2416     1.8333    2.7386    
SITE541      9      0.8889     0.8889     0.9212     0.3333    1.0000    
SITE542      8      0.6250     0.7500     0.7111     1.0000    1.8028    
SITE545      9      0.7778     0.8889     0.7821     0.5556    1.3744    
SITE547      7      0.7143     0.7143     0.4167     1.7143    3.2071    
SITE556      6      0.0000     0.5000     0.0928     2.5000    3.0822    
SITE557      19     0.3158     0.6842     0.2566     1.7368    2.3952    
SITE561      15     0.4000     0.6667     -0.0672    1.8667    3.0984    
SITE563      10     0.5000     0.6000     -0.0850    1.9000    2.8810    
SITE564      9      0.4444     0.7778     0.6383     1.3333    1.9437    
SITE568      7      0.7143     1.0000     0.9578     0.2857    0.5345    
SITE569      11     0.4545     0.8182     0.6572     0.9091    1.4142    
SITE572      8      0.5000     0.7500     0.7217     1.0000    1.5811    
SITE574      9      0.2222     0.7778     0.4390     1.7778    2.3094    
SITE575      15     0.4000     0.6000     -1.0608    2.5333    3.7238    
SITE577      9      0.6667     0.7778     0.0652     1.5556    3.0912    
SITE578      7      0.8571     0.8571     -0.9091    0.8571    2.2678    
SITE580      6      0.3333     0.6667     -0.5600    2.3333    3.6056    
SITE581      10     0.9000     1.0000     0.9822     0.1000    0.3162    
SITE584      8      0.7500     1.0000     0.9217     0.3750    0.7906    
SITE587      8      0.6250     0.8750     0.7973     0.8750    1.4577    
SITE593      11     0.2727     0.7273     -0.4687    2.1818    2.9848    
SITE595      18     0.3889     0.6667     0.2375     1.6667    2.3805    
SITE597      8      0.7500     1.0000     0.9636     0.2500    0.5000    
SITE598      7      0.4286     0.7143     0.1250     1.2857    1.9640    
SITE601      8      0.7500     0.8750     0.6425     0.8750    2.1506    
SITE602      12     0.4167     0.7500     -0.1878    1.9167    3.2532    
SITE606      15     0.6667     0.8667     0.3158     1.2000    2.6583    
SITE607      12     0.5000     0.7500     0.3849     1.4167    2.3629    
SITE610      10     0.6000     0.9000     0.8046     0.8000    1.3416    
SITE612      14     0.3571     0.5714     -0.0792    1.9286    2.8158    
SITE616      13     0.4615     0.9231     0.8432     0.7692    1.1767    
SITE617      10     0.4000     0.9000     0.7234     1.2000    1.6125    
SITE620      17     0.4706     0.8235     0.5804     1.2941    1.9097    
SITE622      13     0.3846     0.7692     0.4730     1.3846    1.9215    
SITE623      8      0.2500     1.0000     0.2500     0.8750    1.0607    
SITE624      9      0.4444     0.6667     -0.3318    1.7778    2.7080    
SITE626      10     0.7000     0.8000     0.1702     1.4000    3.1305    
SITE629      13     0.5385     0.6923     0.5364     1.3077    1.9807    
SITE639      11     0.3636     0.6364     0.3876     1.5455    2.1950    
SITE648      7      0.4286     0.8571     0.7928     1.1429    1.6036    
SITE658      16     0.5625     0.9375     0.8095     0.7500    1.2247    
SITE683      7      0.7143     1.0000     0.4909     0.5714    1.0690    
SITE684      14     0.4286     0.9286     0.7253     1.0714    1.4880    
SITE692      15     0.4000     0.6667     0.0244     1.7333    2.5298    
SITE719      16     0.2500     0.8125     0.2145     1.8125    2.4367    
SITE721      12     0.4167     0.8333     0.6099     1.3333    1.8708    
SITE722      14     0.5000     0.7857     0.4820     1.0714    1.6257    
SITE725      9      0.4444     0.7778     -0.1081    1.7778    3.0185    
SITE734      13     0.4615     0.6923     -0.2888    1.9231    2.9742    
SITE735      17     0.2353     0.7647     0.3012     1.6471    2.4010    
SITE739      10     0.4000     0.8000     0.5057     1.3000    1.9748    
SITE747      30     0.3333     0.7333     0.1628     1.6333    2.3166    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.4000     0.9000     0.7225     1.0000    1.7321    
SITE801      8      0.5000     0.8750     0.4222     1.1250    2.2079    
SITE802      9      0.2222     0.7778     0.2246     1.7778    2.4944    
SITE807      7      0.4286     0.5714     -0.7500    2.0000    2.7255    
SITE808      7      0.5714     0.8571     0.1211     1.5714    2.8536    
SITE821      10     0.3000     0.4000     -0.9053    3.1000    4.2071    
SITE831      11     0.3636     0.5455     -0.7460    2.5455    3.8139    
SITE844      7      0.5714     0.8571     0.7594     0.7143    1.2536    
SITE852      14     0.2857     0.5714     -0.5265    2.4286    3.1623    
SITE871      7      0.5714     0.8571     0.8192     0.8571    1.4142    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.4322     0.7599     0.3232     1.4793    2.3502    
--------------------------------------------------------------------------------------------------------------
