--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE581      10     0.4000     0.6000     -0.3012    1.9000    2.7019    
SITE584      8      0.3750     0.5000     -0.8630    2.6250    3.8568    
SITE587      8      0.3750     0.5000     -0.2280    2.6250    3.5882    
SITE593      11     0.3636     0.7273     -0.3488    2.0000    2.8604    
SITE595      18     0.3333     0.6667     0.1777     1.7778    2.4721    
SITE597      8      0.3750     0.5000     -0.6583    2.3750    3.3727    
SITE598      7      0.2857     0.5714     -1.0417    2.1429    3.0000    
SITE601      8      0.8750     0.8750     0.8454     0.5000    1.4142    
SITE602      12     0.3333     0.7500     -0.2253    2.0833    3.3040    
SITE606      15     0.2667     0.6000     -0.4135    2.6000    3.8210    
SITE607      12     0.1667     0.5000     -0.6526    3.0000    3.8730    
SITE610      10     0.3000     0.8000     0.6200     1.5000    1.8708    
SITE612      14     0.4286     0.6429     0.0083     1.7143    2.6992    
SITE616      13     0.3077     0.6154     -0.4377    2.5385    3.5626    
SITE617      10     0.3000     0.5000     -0.6170    2.8000    3.8987    
SITE620      17     0.2941     0.5294     -0.9558    2.8824    4.1231    
SITE622      13     0.3077     0.6154     -0.3285    2.2308    3.0509    
SITE623      8      0.2500     0.8750     -0.6667    1.2500    1.5811    
SITE624      9      0.4444     0.6667     -1.1996    2.3333    3.4801    
SITE626      10     0.3000     0.7000     -0.4479    2.7000    4.1352    
SITE629      13     0.3077     0.5385     -0.3364    2.5385    3.3627    
SITE639      11     0.2727     0.7273     -1.0914    2.6364    4.0564    
SITE648      7      0.2857     0.4286     -1.3832    4.1429    5.4380    
SITE658      16     0.1875     0.5625     -0.1270    2.3750    2.9791    
SITE683      7      0.7143     1.0000     0.6818     0.4286    0.8452    
SITE684      14     0.2857     0.6429     -0.9848    2.8571    4.0000    
SITE692      15     0.2000     0.3333     -1.1951    3.2000    3.7947    
SITE719      16     0.2500     0.6875     -0.1163    2.1875    2.9047    
SITE721      12     0.0000     0.7500     0.1455     2.5000    2.7689    
SITE722      14     0.2857     0.7857     -0.1200    1.7143    2.3905    
SITE725      9      0.4444     0.6667     0.1081     1.7778    2.7080    
SITE734      13     0.3077     0.6154     -1.2526    2.6923    3.9321    
SITE735      17     0.2353     0.5882     -0.1695    2.3529    3.1060    
SITE739      10     0.2000     0.5000     -0.0013    2.3000    2.8107    
SITE747      30     0.2000     0.5667     -1.0073    2.7333    3.5870    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.2000     0.2000     -3.0056    5.7000    6.5803    
SITE801      8      0.2500     0.7500     -0.1852    2.0000    3.1623    
SITE802      9      0.3333     0.6667     -0.8138    2.5556    3.8152    
SITE807      7      0.2857     0.5714     -1.3894    2.4286    3.1848    
SITE808      7      0.2857     0.5714     -0.2643    2.5714    3.4226    
SITE821      10     0.2000     0.2000     -0.3455    3.1000    3.5355    
SITE831      11     0.3636     0.5455     -0.1677    2.2727    3.1189    
SITE844      7      0.4286     0.7143     -0.0281    1.5714    2.5912    
SITE852      14     0.2857     0.5714     -0.6573    2.4286    3.2950    
SITE871      7      0.4286     0.7143     0.0959     2.0000    3.1623    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.3332     0.6247     -0.3149    2.2546    3.2757    
--------------------------------------------------------------------------------------------------------------
