--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE360      8      0.6250     0.7500     -0.0030    1.2500    2.2913    
SITE361      7      0.5714     0.8571     0.6475     0.8571    1.4142    
SITE362      11     0.6364     0.9091     0.6368     0.9091    1.9540    
SITE363      11     0.4545     0.4545     -1.0109    2.2727    3.2613    
SITE366      12     0.2500     0.5000     -0.7564    2.7500    3.5940    
SITE367      8      0.8750     0.8750     0.8522     0.3750    1.0607    
SITE375      6      0.8333     0.8333     0.8157     0.5000    1.2247    
SITE376      9      0.4444     0.6667     0.1667     1.4444    2.2361    
SITE377      12     0.5833     0.9167     0.5690     0.8333    1.6330    
SITE380      8      0.6250     0.8750     0.6660     0.8750    1.6202    
SITE383      4      0.2500     0.5000     -0.2222    2.0000    2.3452    
SITE385      9      0.3333     0.6667     0.2321     1.6667    2.1858    
SITE386      11     0.6364     0.9091     0.7863     0.6364    1.1677    
SITE388      7      0.5714     1.0000     0.7961     0.5714    0.9258    
SITE389      11     0.6364     0.8182     0.1806     1.2727    2.4495    
SITE397      14     0.4286     0.7857     0.4841     1.2143    1.9086    
SITE401      7      0.5714     0.7143     -0.3295    1.5714    2.6458    
SITE404      6      0.8333     0.8333     0.3750     0.8333    2.0412    
SITE406      6      0.5000     0.6667     -0.0760    1.8333    3.1358    
SITE407      7      0.8571     0.8571     -0.2000    0.8571    2.2678    
SITE411      29     0.2759     0.6552     -0.6435    2.0000    2.7165    
SITE417      24     0.3333     0.6667     0.0717     1.6667    2.3805    
SITE420      15     0.2667     0.8667     0.2991     1.3333    1.8257    
SITE421      11     0.5455     0.7273     0.0734     1.6364    2.6629    
SITE422      13     0.3077     0.7692     0.4301     1.3846    1.7974    
SITE424      6      0.3333     0.3333     -0.0403    2.1667    2.6771    
SITE426      15     0.4667     0.7333     0.2318     1.4667    2.2509    
SITE430      9      0.4444     0.7778     0.2684     1.7778    3.0912    
SITE434      12     0.5833     0.8333     0.5854     1.0000    1.6833    
SITE435      9      0.4444     0.6667     0.3237     1.5556    2.4037    
SITE437      18     0.1111     0.3889     -0.8576    3.0000    3.4641    
SITE438      15     0.4667     0.8667     0.0132     1.2000    2.1602    
SITE439      13     0.6154     0.8462     0.5943     1.0000    1.8187    
SITE442      19     0.4211     0.8421     0.5629     1.1579    1.8353    
SITE443      6      0.3333     0.3333     -1.4604    4.1667    5.3385    
SITE446      18     0.3889     0.7222     -0.2399    2.1667    3.3250    
SITE447      5      0.4000     0.6000     0.1822     1.8000    2.6458    
SITE454      7      0.7143     0.7143     -0.0714    1.2857    2.5355    
SITE455      9      0.3333     0.4444     -0.4233    2.8889    3.8873    
SITE460      4      0.5000     0.7500     0.3158     1.5000    2.5495    
SITE461      5      0.4000     0.8000     0.5313     1.4000    2.0494    
SITE463      6      0.5000     0.6667     -0.1589    2.0000    3.2146    
SITE464      8      0.5000     0.8750     0.3324     1.5000    2.6926    
SITE468      6      0.3333     0.5000     -1.4107    3.0000    3.8730    
SITE469      4      0.5000     1.0000     -0.8182    0.7500    1.1180    
SITE471      17     0.5294     0.7647     0.5302     1.2941    2.0864    
SITE474      6      0.5000     0.6667     -0.5733    1.8333    3.1358    
SITE477      14     0.5000     0.8571     0.5333     1.1429    1.9272    
SITE483      9      0.3333     0.5556     -0.8243    2.7778    3.8730    
SITE485      10     0.4000     0.9000     0.7663     1.1000    1.5166    
SITE486      6      0.8333     1.0000     0.9636     0.1667    0.4082    
SITE490      13     0.3846     0.7692     0.2530     1.4615    2.0939    
SITE492      6      0.8333     1.0000     0.9326     0.1667    0.4082    
SITE506      10     0.6000     0.7000     -0.0187    1.4000    2.4495    
SITE508      27     0.4444     0.7037     0.1574     1.6667    2.6597    
SITE510      6      0.6667     0.6667     -0.4936    1.6667    3.1091    
SITE520      16     0.5000     0.8125     0.5718     1.0625    1.7500    
SITE521      17     0.4118     0.7647     0.5833     1.5294    2.1693    
SITE522      18     0.5556     0.6667     0.1105     1.6111    2.7386    
SITE528      11     0.6364     0.7273     0.3407     1.0909    1.8586    
SITE538      7      0.2857     0.5714     0.0048     2.7143    3.5657    
SITE539      7      0.5714     0.8571     0.4952     1.1429    2.0702    
SITE540      6      0.3333     0.5000     -0.0281    2.5000    3.1885    
SITE541      9      0.4444     0.6667     0.5535     1.6667    2.3805    
SITE542      8      0.5000     0.6250     0.6111     1.3750    2.0917    
SITE545      9      0.5556     0.6667     0.0385     1.6667    2.8868    
SITE547      7      0.8571     0.8571     0.7083     0.8571    2.2678    
SITE556      6      0.3333     0.6667     0.2520     1.8333    2.7988    
SITE557      19     0.4211     0.8421     0.6795     1.1053    1.5728    
SITE561      15     0.4667     0.7333     0.3330     1.4667    2.4495    
SITE563      10     0.5000     0.7000     0.1111     1.6000    2.6077    
SITE564      9      0.5556     0.7778     0.6064     1.2222    2.0276    
SITE568      7      0.8571     1.0000     0.9789     0.1429    0.3780    
