--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE461      5      0.2000     0.4000     -0.0045    2.6000    3.0000    
SITE463      6      0.3333     0.5000     -1.3738    3.5000    4.6007    
SITE464      8      0.7500     0.7500     0.0791     1.5000    3.1623    
SITE468      6      0.5000     0.5000     -1.9464    3.0000    4.2817    
SITE469      4      0.5000     1.0000     -0.8182    0.7500    1.1180    
SITE471      17     0.3529     0.4118     -1.1710    3.2941    4.4853    
SITE474      6      0.3333     0.5000     -1.0000    2.5000    3.5355    
SITE477      14     0.4286     0.5714     -0.8308    2.5714    3.8173    
SITE483      9      0.3333     0.5556     -1.1486    3.0000    4.2032    
SITE485      10     0.1000     0.3000     -2.4654    4.9000    5.8395    
SITE486      6      0.8333     1.0000     0.9636     0.1667    0.4082    
SITE490      13     0.3077     0.4615     -1.3065    2.7692    3.6795    
SITE492      6      0.5000     0.8333     0.2584     0.8333    1.3540    
SITE506      10     0.6000     0.7000     0.2530     1.2000    2.0976    
SITE508      27     0.3333     0.4815     -1.1309    3.0741    4.2295    
SITE510      6      0.5000     0.5000     -0.7253    2.1667    3.3417    
SITE520      16     0.4375     0.7500     0.4670     1.3125    1.9526    
SITE521      17     0.3529     0.7059     0.2083     2.1176    2.9902    
SITE522      18     0.3889     0.6111     -0.3836    2.3333    3.4157    
SITE528      11     0.5455     0.6364     -0.2839    1.6364    2.5937    
SITE538      7      0.2857     0.2857     -1.7396    4.7143    5.9161    
SITE539      7      0.4286     0.4286     -1.2716    3.2857    4.3916    
SITE540      6      0.5000     0.6667     0.2416     1.8333    2.7386    
SITE541      9      0.3333     0.3333     -1.6352    4.5556    5.7831    
SITE542      8      0.5000     0.6250     0.3333     1.7500    2.7386    
SITE545      9      0.5556     0.7778     -0.2564    1.7778    3.2998    
SITE547      7      0.4286     0.4286     -1.0417    4.2857    6.0000    
SITE556      6      0.3333     0.5000     -0.1300    2.5000    3.4400    
SITE557      19     0.3684     0.7895     0.4340     1.4211    2.0901    
SITE561      15     0.2667     0.5333     -0.5934    2.7333    3.7859    
SITE563      10     0.3000     0.3000     -1.8758    3.8000    4.6904    
SITE564      9      0.3333     0.6667     -0.0426    2.2222    3.2998    
SITE568      7      0.2857     0.4286     -0.7711    2.5714    3.4641    
SITE569      11     0.0909     0.3636     -0.4334    2.5455    2.8920    
SITE572      8      0.3750     0.7500     -0.4887    2.3750    3.6572    
SITE574      9      0.2222     0.4444     -1.5013    3.7778    4.8762    
SITE575      15     0.2667     0.6000     -0.5654    2.5333    3.2455    
